function_name,github_link,has_spec_verus,has_proof_verus,has_spec_lean,has_proof_lean
mul,https://github.com/Beneficial-AI-Foundation/dalek-lite/blob/4c0358ebf1ded29a1963b09c62e9e9dfb6da37df/curve25519-dalek/src/edwards.rs#L726,,,,
mul,https://github.com/Beneficial-AI-Foundation/dalek-lite/blob/4c0358ebf1ded29a1963b09c62e9e9dfb6da37df/curve25519-dalek/src/edwards.rs#L738,,,,
mul_base,https://github.com/Beneficial-AI-Foundation/dalek-lite/blob/4c0358ebf1ded29a1963b09c62e9e9dfb6da37df/curve25519-dalek/src/edwards.rs#L748,,,,
mul_base_clamped,https://github.com/Beneficial-AI-Foundation/dalek-lite/blob/4c0358ebf1ded29a1963b09c62e9e9dfb6da37df/curve25519-dalek/src/edwards.rs#L778,,,,
multiscalar_mul,https://github.com/Beneficial-AI-Foundation/dalek-lite/blob/4c0358ebf1ded29a1963b09c62e9e9dfb6da37df/curve25519-dalek/src/edwards.rs#L800,,,,
optional_multiscalar_mul,https://github.com/Beneficial-AI-Foundation/dalek-lite/blob/4c0358ebf1ded29a1963b09c62e9e9dfb6da37df/curve25519-dalek/src/edwards.rs#L832,,,,
vartime_double_scalar_mul_basepoint,https://github.com/Beneficial-AI-Foundation/dalek-lite/blob/4c0358ebf1ded29a1963b09c62e9e9dfb6da37df/curve25519-dalek/src/edwards.rs#L902,,,,
create,https://github.com/Beneficial-AI-Foundation/dalek-lite/blob/4c0358ebf1ded29a1963b09c62e9e9dfb6da37df/curve25519-dalek/src/edwards.rs#L953,,,,
basepoint,https://github.com/Beneficial-AI-Foundation/dalek-lite/blob/4c0358ebf1ded29a1963b09c62e9e9dfb6da37df/curve25519-dalek/src/edwards.rs#L966,,,,
mul_base,https://github.com/Beneficial-AI-Foundation/dalek-lite/blob/4c0358ebf1ded29a1963b09c62e9e9dfb6da37df/curve25519-dalek/src/edwards.rs#L1014,,,,
mul,https://github.com/Beneficial-AI-Foundation/dalek-lite/blob/4c0358ebf1ded29a1963b09c62e9e9dfb6da37df/curve25519-dalek/src/edwards.rs#L1039,,,,
mul,https://github.com/Beneficial-AI-Foundation/dalek-lite/blob/4c0358ebf1ded29a1963b09c62e9e9dfb6da37df/curve25519-dalek/src/edwards.rs#L1050,,,,
mul_by_cofactor,https://github.com/Beneficial-AI-Foundation/dalek-lite/blob/4c0358ebf1ded29a1963b09c62e9e9dfb6da37df/curve25519-dalek/src/edwards.rs#L1187,,,,
mul_by_pow_2,https://github.com/Beneficial-AI-Foundation/dalek-lite/blob/4c0358ebf1ded29a1963b09c62e9e9dfb6da37df/curve25519-dalek/src/edwards.rs#L1192,,,,
is_torsion_free,https://github.com/Beneficial-AI-Foundation/dalek-lite/blob/4c0358ebf1ded29a1963b09c62e9e9dfb6da37df/curve25519-dalek/src/edwards.rs#L1257,,,,
fmt,https://github.com/Beneficial-AI-Foundation/dalek-lite/blob/4c0358ebf1ded29a1963b09c62e9e9dfb6da37df/curve25519-dalek/src/edwards.rs#L1267,,,,
eq,https://github.com/Beneficial-AI-Foundation/dalek-lite/blob/4c0358ebf1ded29a1963b09c62e9e9dfb6da37df/curve25519-dalek/src/field.rs#L79,,,,
ct_eq,https://github.com/Beneficial-AI-Foundation/dalek-lite/blob/4c0358ebf1ded29a1963b09c62e9e9dfb6da37df/curve25519-dalek/src/field.rs#L88,,,,
is_negative,https://github.com/Beneficial-AI-Foundation/dalek-lite/blob/4c0358ebf1ded29a1963b09c62e9e9dfb6da37df/curve25519-dalek/src/field.rs#L101,,,,
is_zero,https://github.com/Beneficial-AI-Foundation/dalek-lite/blob/4c0358ebf1ded29a1963b09c62e9e9dfb6da37df/curve25519-dalek/src/field.rs#L111,,,,
pow22501,https://github.com/Beneficial-AI-Foundation/dalek-lite/blob/4c0358ebf1ded29a1963b09c62e9e9dfb6da37df/curve25519-dalek/src/field.rs#L121,,,,
batch_invert,https://github.com/Beneficial-AI-Foundation/dalek-lite/blob/4c0358ebf1ded29a1963b09c62e9e9dfb6da37df/curve25519-dalek/src/field.rs#L161,,,,
invert,https://github.com/Beneficial-AI-Foundation/dalek-lite/blob/4c0358ebf1ded29a1963b09c62e9e9dfb6da37df/curve25519-dalek/src/field.rs#L206,,,,
pow_p58,https://github.com/Beneficial-AI-Foundation/dalek-lite/blob/4c0358ebf1ded29a1963b09c62e9e9dfb6da37df/curve25519-dalek/src/field.rs#L220,,,,
sqrt_ratio_i,https://github.com/Beneficial-AI-Foundation/dalek-lite/blob/4c0358ebf1ded29a1963b09c62e9e9dfb6da37df/curve25519-dalek/src/field.rs#L243,,,,
invsqrt,https://github.com/Beneficial-AI-Foundation/dalek-lite/blob/4c0358ebf1ded29a1963b09c62e9e9dfb6da37df/curve25519-dalek/src/field.rs#L303,,,,
elligator_inv,https://github.com/Beneficial-AI-Foundation/dalek-lite/blob/4c0358ebf1ded29a1963b09c62e9e9dfb6da37df/curve25519-dalek/src/lizard/jacobi_quartic.rs#L30,,,,
dual,https://github.com/Beneficial-AI-Foundation/dalek-lite/blob/4c0358ebf1ded29a1963b09c62e9e9dfb6da37df/curve25519-dalek/src/lizard/jacobi_quartic.rs#L66,,,,
from_uniform_bytes_single_elligator,https://github.com/Beneficial-AI-Foundation/dalek-lite/blob/4c0358ebf1ded29a1963b09c62e9e9dfb6da37df/curve25519-dalek/src/lizard/lizard_ristretto.rs#L26,,,,
lizard_encode,https://github.com/Beneficial-AI-Foundation/dalek-lite/blob/4c0358ebf1ded29a1963b09c62e9e9dfb6da37df/curve25519-dalek/src/lizard/lizard_ristretto.rs#L31,,,,
lizard_decode,https://github.com/Beneficial-AI-Foundation/dalek-lite/blob/4c0358ebf1ded29a1963b09c62e9e9dfb6da37df/curve25519-dalek/src/lizard/lizard_ristretto.rs#L47,,,,
decode_253_bits,https://github.com/Beneficial-AI-Foundation/dalek-lite/blob/4c0358ebf1ded29a1963b09c62e9e9dfb6da37df/curve25519-dalek/src/lizard/lizard_ristretto.rs#L87,,,,
elligator_ristretto_flavor_inverse,https://github.com/Beneficial-AI-Foundation/dalek-lite/blob/4c0358ebf1ded29a1963b09c62e9e9dfb6da37df/curve25519-dalek/src/lizard/lizard_ristretto.rs#L112,,,,
to_jacobi_quartic_ristretto,https://github.com/Beneficial-AI-Foundation/dalek-lite/blob/4c0358ebf1ded29a1963b09c62e9e9dfb6da37df/curve25519-dalek/src/lizard/lizard_ristretto.rs#L159,,,,
field_element,https://github.com/Beneficial-AI-Foundation/dalek-lite/blob/4c0358ebf1ded29a1963b09c62e9e9dfb6da37df/curve25519-dalek/src/lizard/u64_constants.rs#L13,,,,
add,https://github.com/Beneficial-AI-Foundation/dalek-lite/blob/4c0358ebf1ded29a1963b09c62e9e9dfb6da37df/curve25519-dalek/src/macros.rs#L19,,,,
